"source","stockid","lme","comm_name","species","year","biomass_mt","er","bbmsy","uumsy","msy_mt","bmsy_mt","umsy","r","k_mt"
"RAM","ACADREDGOMGB","Northeast U.S. Continental Shelf","Acadian redfish","Sebastes fasciatus",2014,977058.868947609,0.00520951209980054,1.173909331512,0.394736842105263,10466.0001172694,832312.0387,0.012574611,0.0150895332,2071058.69213798
"RAM","ACMACKSARG","Patagonian Shelf","Argentine chub mackerel","Scomber colias",2014,159000,0.0417610062893082,1.52808988764045,0.2125,8745.16554358391,117161.0671,0.074642249,0.0895706988,291534.226486272
"RAM","AFLONCH","Humboldt Current","Alfonsino","Beryx splendens",2011,11600,0.0175862068965517,0.641185408017013,0.249046185947734,1277.51686510349,18091.49094,0.070614239,0.0847370868,45017.4187358208
"RAM","ALBAIO","Indian Ocean","Albacore tuna","Thunnus alalunga",2014,907713.790376431,0.043405752361282,1.8,0.846,38800.0001982208,503470.3079,0.077065121,0.0924781452,1252795.23655373
"RAM","ALBAMED","Mediterranean Sea","Albacore tuna","Thunnus alalunga",2011,319000,0.0145141065830721,1.21,1.81,28900.0000604583,167158.4812,0.172889822,0.2074677864,415943.791939584
"RAM","ALBANATL","North Atlantic Ocean","Albacore tuna","Thunnus alalunga",2014,559000,0.0477638640429338,1.34,0.538,37897.7131432871,416186.6209,0.091059422,0.1092713064,1035605.49251789
"RAM","ALBASATL","South Atlantic Ocean","Albacore tuna","Thunnus alalunga",2012,149000,0.168456375838926,1.2,0.697,25147.500070855,184107.5,0.136591394,0.1639096728,458118.3744
"RAM","ALBASPAC","South Pacific Ocean","Albacore tuna","Thunnus alalunga",2013,2269172.25129457,0.0373704552184707,2.86,0.47,76799.9998279216,749301.0117,0.102495524,0.1229946288,1864500.69343334
"RAM","ALPLAICBSAI","East Bering Sea","Alaska plaice","Pleuronectes quadrituberculatus",2014,485000,0.04,1.93766454942782,NA,26295.893015872,273632.3143,0.09609937,0.115319244,680884.760318976
"RAM","ALSKABSAI","East Bering Sea","Alaska skate","Bathyraja parmifera",2014,519000,0.0477842003853565,2.06349448970546,2.32480309317377,3461.81174600856,168424.5125,0.020554085,0.024664902,419094.082944
"RAM","AMPL23K","Labrador - Newfoundland","American plaice","Hippoglossoides platessoides",2011,29000,0.000586206896551724,0.494625517580256,0.00889897756553046,3862.17805410744,58630.21411,0.065873511,0.0790482132,145890.734374195
"RAM","AMPL4VWX","Scotian Shelf","American plaice","Hippoglossoides platessoides",2009,35850.0354856679,0.00507670348256028,0.726747353331604,0.0448640314882795,5581.99743225659,49329.43384,0.113157541,0.1357890492,122747.416812749
"RAM","AMPL5YZ","Northeast U.S. Continental Shelf","American plaice","Hippoglossoides platessoides",2014,29241.6309843324,0.0454830991032139,0.839246204318303,0.612244897959184,2674.99998544804,34842.73248,0.076773542,0.0921282504,86699.8680846336
"RAM","ANCHIXa","Iberian Coastal","Anchovy","Engraulis encrasicolus",2014,36700.7192633385,0.277923708437755,2.04823409206334,0.465735832480828,11703.9934578673,17989.99715,0.650583397,0.7807000764,44764.869708288
